"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"2617",611093,"Silvino Bracho",2017,349,0.13467,0.11673,0.00611342193554213,116,0.37931,0.36875,0.00815636436949015,189,0.68783,0.68561,-0.00615993765634263,0.0204297239613749
"2618",611093,"Silvino Bracho",2018,491,0.15682,0.12669,0.0194753815834715,162,0.3642,0.37813,0.00501690550127417,251,0.71315,0.7132,-0.00874499130540977,0.0332372783901555
"2619",612434,"Miguel Castro",2015,293,0.10922,0.08876,0.0154567070852312,117,0.2906,0.24577,0.0235717938147822,126,0.68254,0.62596,0.025023760508735,0.0140047403912785
"2620",612434,"Miguel Castro",2016,240,0.09583,0.09407,0.00184799004706067,68,0.26471,0.20509,0.022678427794058,117,0.54701,0.61843,-0.0312683683410035,0.0557947861821222
"2621",612434,"Miguel Castro",2017,1004,0.1006,0.09362,0.00376859707407928,273,0.35165,0.29292,0.0523635590591807,486,0.66667,0.64175,0.0143732125477558,0.0417589435855042
"2622",612434,"Miguel Castro",2018,1456,0.09753,0.09133,0.00722327991917124,435,0.28966,0.2817,0.0161730094413945,707,0.66195,0.64687,-0.000177307331791638,0.0235735966923574
"2623",612434,"Miguel Castro",2019,1232,0.11769,0.10163,0.0120293734817915,324,0.31173,0.29086,0.0313632895576706,546,0.64652,0.64305,-0.00344321647872903,0.0468358795181911
"2624",612672,"Wei-Yin Chen",2015,3009,0.08608,0.10173,-0.0119928706904954,1213,0.31492,0.30963,-0.0110099892520412,1582,0.69216,0.65443,0.0319586887901793,-0.0549615487327158
"2625",612672,"Wei-Yin Chen",2016,1886,0.09067,0.11102,-0.023656259220215,670,0.3,0.31232,-0.0260584584700027,994,0.666,0.66022,0.00804994409267646,-0.0577646617828941
"2626",612672,"Wei-Yin Chen",2017,493,0.08722,0.10801,-0.0174276467045392,165,0.30909,0.317,-0.00317769917751343,255,0.65882,0.66483,-0.00800536080910419,-0.0125999850729484
"2627",612672,"Wei-Yin Chen",2018,2190,0.08402,0.11009,-0.0293294038292999,777,0.26898,0.30263,-0.0159563411642432,1053,0.66952,0.65817,-0.00283291298833127,-0.0424528320052118
"2628",612672,"Wei-Yin Chen",2019,1151,0.09557,0.10964,-0.0147289921585103,467,0.26552,0.30566,-0.0105765247393816,607,0.7117,0.66364,0.0238243384450873,-0.0491298553429792
"2629",613317,"Kyle Bird",2019,240,0.1,0.10901,0.00132051756333331,108,0.12963,0.2246,-0.0287541756992345,112,0.625,0.66606,-0.00655271846709489,-0.0208809396688063
"2630",613534,"Austin Adams",2019,530,0.16415,0.11442,0.0364844759577426,134,0.1791,0.26409,-0.0300552056852498,251,0.59761,0.6281,-0.0220575357558805,0.0284868060283733
"2631",614179,"Jose Ruiz",2019,753,0.10359,0.10992,-0.00831892995430013,216,0.33333,0.31201,0.0185815370589605,373,0.70777,0.66779,0.0168511772942592,-0.0065885701895989
"2632",615698,"Cal Quantrill",2019,1663,0.10162,0.11066,-0.0128732170917708,671,0.30104,0.30154,0.0185068041922436,723,0.70816,0.66993,0.0206821387640466,-0.0150485516635737
"2633",620454,"Jose Castillo",2018,632,0.14082,0.10872,0.0225542231658707,281,0.24555,0.26946,0.0027232143903886,328,0.64024,0.66699,-0.030942216624139,0.0562196541803982
"2634",620982,"Ricardo Pinto",2017,576,0.09375,0.09584,0.00225374586590925,193,0.26943,0.28644,-0.00184063249860978,289,0.7128,0.6669,0.0267768380006549,-0.0263637246333554
"2635",621052,"Alex Reyes",2016,789,0.11407,0.09634,0.0137351887090157,279,0.26523,0.23778,0.0200637915848515,384,0.67448,0.69235,-0.0177689897271574,0.0515679700210246
"2636",621056,"Hunter Wood",2018,696,0.13075,0.1136,0.0109250028147745,190,0.28947,0.25835,0.0217564918040919,344,0.6686,0.6375,0.0142727520073114,0.0184087426115551
"2637",621056,"Hunter Wood",2019,752,0.12367,0.10479,0.00772487978728817,228,0.33333,0.26573,0.0402643878172495,353,0.67989,0.65304,0.00414374077626238,0.0438455268282753
"2638",621058,"Andrew Moore",2017,844,0.08649,0.1125,-0.0185009244856954,264,0.27652,0.30207,-0.016566450879636,450,0.70667,0.67379,0.0169271998797667,-0.0519945752450982
"2639",621086,"James Marvel",2019,331,0.09366,0.11795,-0.0205825585566543,109,0.24771,0.29036,-0.0199244189028916,139,0.74101,0.68453,0.022961676288906,-0.063468653748452
"2640",621097,"Jacob Waguespack",2019,1333,0.09452,0.09909,-0.00499293978231057,507,0.30375,0.30117,0.0248895232476447,640,0.70312,0.6654,0.0211936717406155,-0.00129708827528137
"2641",621107,"Zach Eflin",2016,962,0.05509,0.10427,-0.0374057963363442,282,0.28369,0.27966,0.00677657299999446,514,0.64981,0.64198,0.00789505456114999,-0.0385242778974997
"2642",621107,"Zach Eflin",2017,1016,0.07283,0.09708,-0.0215815275956222,321,0.34579,0.30621,0.0328859269125762,515,0.67767,0.6462,0.014749652211835,-0.00344525289488104
"2643",621107,"Zach Eflin",2018,2036,0.10363,0.10858,-0.0069802529277971,652,0.31595,0.32961,0.00538389521037273,1053,0.67142,0.65799,0.00458944008700546,-0.00618579780442982
"2644",621107,"Zach Eflin",2019,2481,0.08988,0.10975,-0.0220834897676915,876,0.31621,0.33107,0.00556893395874514,1212,0.66337,0.63574,0.0124151310843753,-0.0289296868933217
"2645",621111,"Walker Buehler",2017,192,0.10417,0.10583,-0.0022326956513464,56,0.32143,0.32442,0.00525707258860488,103,0.60194,0.68652,-0.0324588974225588,0.0354832743598172
"2646",621111,"Walker Buehler",2018,2079,0.11111,0.10341,0.00246898454096758,612,0.3268,0.29457,0.0371977432704324,1086,0.66114,0.66657,-0.016104441291094,0.055771169102494
"2647",621111,"Walker Buehler",2019,2791,0.12218,0.10702,0.00966591308856375,698,0.32521,0.32848,0.0156480658134865,1479,0.66396,0.66105,-0.0163703713057985,0.0416843502078488
"2648",621112,"Paul Blackburn",2017,875,0.06057,0.1054,-0.0383822602333261,311,0.2701,0.27873,-0.00508232646732359,372,0.69355,0.64726,0.0145624901700604,-0.0580270768707101
"2649",621112,"Paul Blackburn",2018,442,0.08597,0.1222,-0.0265709380792721,135,0.33333,0.30574,0.0186056646850105,203,0.72906,0.63126,0.0443031920293152,-0.0522684654235768
"2650",621112,"Paul Blackburn",2019,183,0.09836,0.10867,-0.00503808595230297,61,0.2623,0.27254,-0.000400240142225431,80,0.675,0.61687,0.0177398261297466,-0.023178152224275
"2651",621114,"Ryan Burr",2018,157,0.11465,0.08691,0.0139892498365098,53,0.11321,0.23203,-0.0228559904443007,82,0.68293,0.66604,0.00300489790570404,-0.011871638513495
"2652",621114,"Ryan Burr",2019,356,0.08708,0.09249,-0.00861291779216363,111,0.22523,0.32557,-0.0408293946361832,192,0.66667,0.67376,-0.00807963914642118,-0.0413626732819256
"2653",621121,"Lance McCullers Jr.",2015,1998,0.1001,0.11109,-0.00439851920374744,634,0.21136,0.27517,-0.0670058933449409,963,0.61059,0.65658,-0.034445428390667,-0.0369589841580213
"2654",621121,"Lance McCullers Jr.",2016,1206,0.13516,0.12389,0.0128341249729542,305,0.22295,0.27459,-0.0416417187856852,566,0.59541,0.63243,-0.0280498002693431,-0.000757793543387845
"2655",621121,"Lance McCullers Jr.",2017,1961,0.12188,0.12371,-0.000192842788168916,577,0.28769,0.29482,-0.00833887401749636,889,0.63217,0.64112,-0.0136016834717643,0.005069966666099
"2656",621121,"Lance McCullers Jr.",2018,2081,0.13503,0.1325,0.0015501087699698,544,0.24449,0.30277,-0.0365640997366451,981,0.63914,0.65506,-0.0271109584948801,-0.00790303247179518
"2657",621141,"Walker Lockett",2018,290,0.08276,0.09895,-0.0120946774670719,115,0.23478,0.25104,0.00557041047490944,134,0.58955,0.65071,-0.024228751066106,0.0177044840739435
"2658",621141,"Walker Lockett",2019,369,0.07588,0.10933,-0.0253064283196694,115,0.27826,0.31732,-0.0166291697935662,185,0.65946,0.68449,-0.0124762853674357,-0.0294593127457998
"2659",621142,"Ty Buttrey",2018,300,0.14333,0.11857,0.0146126891264812,110,0.31818,0.30656,0.00851792464350342,143,0.67832,0.69659,-0.0117193695418372,0.0348499833118218
"2660",621142,"Ty Buttrey",2019,1210,0.11983,0.11886,0.00179941726497724,364,0.2967,0.35193,-0.015854530325954,620,0.6371,0.67474,-0.0293309615115802,0.0152758484506035
"2661",621199,"Matt Bowman",2016,1057,0.09461,0.0977,-0.00657977973381791,388,0.34794,0.30563,0.0359565058260013,469,0.62687,0.63366,-0.00706329281939034,0.0364400189115737
