"Name","Team","K%","BB%","SwStr%","playerid"
"Brandon Brennan","Mariners","24.0 %","12.2 %","15.5 %","13527"
"Matthew Boyd","Tigers","30.2 %","6.4 %","14.1 %","15440"
"Mychal Givens","Orioles","33.1 %","10.0 %","15.8 %","10430"
"Homer Bailey","- - -","21.4 %","7.6 %","10.8 %","8362"
"Felix Pena","Angels","24.8 %","8.4 %","12.7 %","13403"
"Griffin Canning","Angels","25.0 %","7.8 %","13.8 %","19867"
"Joe Biagini","- - -","21.4 %","9.3 %","11.7 %","13194"
"Lucas Sims","Reds","32.2 %","10.7 %","14.9 %","13470"
"Sam Gaviglio","Blue Jays","22.5 %","5.6 %","11.6 %","12778"
"Spencer Turnbull","Tigers","22.3 %","9.0 %","10.7 %","16207"
"Mike Morin","- - -","12.4 %","4.8 %","11.5 %","13442"
"Jefry Rodriguez","Indians","16.3 %","10.3 %","8.2 %","17018"
"Jake Arrieta","Phillies","18.5 %","8.6 %","7.2 %","4153"
"Jake Diekman","- - -","29.8 %","13.8 %","16.1 %","5003"
"Javy Guerra","- - -","19.9 %","5.9 %","9.0 %","7407"
"Josh Osich","White Sox","22.4 %","5.5 %","12.5 %","11528"
"Miguel Castro","Orioles","22.3 %","12.9 %","11.7 %","15684"
"Robert Gsellman","Mets","21.7 %","8.3 %","11.0 %","13696"
"Andrew Cashner","- - -","17.0 %","9.1 %","9.5 %","8782"
"Jose Quintana","Cubs","20.4 %","6.2 %","8.3 %","11423"
"Joshua James","Astros","37.6 %","13.2 %","16.2 %","16794"
"Collin McHugh","Astros","25.9 %","9.5 %","11.3 %","7531"
"Colin Poche","Rays","34.8 %","9.2 %","17.2 %","19403"
"Matt Strahm","Padres","24.2 %","4.5 %","10.8 %","13799"
"Matt Andriese","Diamondbacks","25.5 %","8.7 %","10.0 %","12022"
"Ivan Nova","White Sox","14.1 %","5.8 %","8.3 %","1994"
"Jace Fry","White Sox","27.1 %","17.1 %","14.0 %","16159"
"Jesus Tinoco","Rockies","17.4 %","13.7 %","9.3 %","16300"
"Juan Nicasio","Phillies","20.7 %","9.7 %","9.1 %","7731"
"Yoshihisa Hirano","Diamondbacks","26.2 %","9.4 %","14.4 %","19756"
"Tommy Milone","Mariners","20.8 %","5.1 %","10.1 %","7608"
"German Marquez","Rockies","24.3 %","4.9 %","12.7 %","15038"
"Michael Wacha","Cardinals","18.5 %","9.8 %","9.4 %","14078"
"Brett Martin","Rangers","22.1 %","6.4 %","13.2 %","17369"
"Luke Bard","Angels","20.1 %","6.5 %","12.4 %","14288"
"Dylan Bundy","Orioles","23.1 %","8.3 %","12.9 %","12917"
"Jose Alvarado","Rays","26.7 %","18.5 %","12.3 %","17780"
"T.J. McFarland","Diamondbacks","14.0 %","8.0 %","10.0 %","3237"
"Chris Devenski","Astros","24.2 %","7.1 %","12.8 %","12763"
"Daniel Mengden","Athletics","16.2 %","10.4 %","6.0 %","16980"
"Caleb Ferguson","Dodgers","26.5 %","13.2 %","9.3 %","19349"
"Kyle Gibson","Twins","22.7 %","7.9 %","13.1 %","10123"
"Trent Thornton","Blue Jays","22.0 %","9.0 %","10.0 %","17948"
"Jesse Chavez","Rangers","21.4 %","6.5 %","6.4 %","5448"
"Drew Pomeranz","- - -","30.1 %","9.7 %","11.1 %","11426"
"Ryan Brasier","Red Sox","25.3 %","8.7 %","15.3 %","5615"
"Victor Alcantara","Tigers","13.2 %","8.2 %","10.2 %","15028"
"Adam Plutko","Indians","16.9 %","5.6 %","8.4 %","15846"
"Tim Melville","Rockies","16.8 %","9.8 %","11.0 %","9149"
"Tyler Alexander","Tigers","20.0 %","3.0 %","8.6 %","17735"
"Derek Law","Blue Jays","23.5 %","14.0 %","11.4 %","13133"
"J.A. Happ","Yankees","20.7 %","7.2 %","10.3 %","7410"
"Andrew Heaney","Angels","28.9 %","7.3 %","14.2 %","15423"
"Dario Agrazal","Pirates","12.8 %","5.6 %","6.4 %","15821"
"Vince Velasquez","Phillies","25.2 %","8.3 %","11.2 %","11189"
"Blake Treinen","Athletics","22.2 %","13.9 %","12.5 %","12572"
"Tim Mayza","Blue Jays","24.2 %","11.9 %","14.1 %","15042"
"Asher Wojciechowski","Orioles","22.2 %","7.8 %","11.5 %","10836"
"Shawn Kelley","Rangers","21.0 %","5.4 %","11.6 %","7773"
"Mike Montgomery","- - -","17.2 %","8.5 %","9.2 %","4869"
"CC Sabathia","Yankees","22.9 %","8.3 %","11.4 %","404"
"Kyle Crick","Pirates","27.0 %","15.5 %","12.4 %","13182"
"Kolby Allard","Rangers","15.9 %","9.1 %","8.0 %","18694"
"Pedro Strop","Cubs","27.5 %","11.2 %","13.6 %","4070"
"Jeremy Jeffress","Brewers","20.4 %","7.6 %","9.5 %","9490"
"Elieser Hernandez","Marlins","24.1 %","7.4 %","11.6 %","16933"
"Patrick Sandoval","Angels","24.9 %","11.2 %","13.5 %","19447"
"Luis Avilan","Mets","21.3 %","9.9 %","11.2 %","2882"
"Tyler Beede","Giants","21.6 %","8.8 %","11.2 %","16981"
"Ryan Weber","Red Sox","16.0 %","4.4 %","5.9 %","10160"
"Pablo Lopez","Marlins","20.3 %","5.8 %","10.3 %","17085"
"Martin Perez","Twins","18.3 %","9.1 %","9.9 %","6902"
"Matt Albers","Brewers","22.1 %","11.2 %","9.4 %","4300"
"Tyler Mahle","Reds","23.2 %","6.1 %","9.4 %","16358"
