"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1029",606131,"Luis Perdomo",2016,2312,0.08607,0.09565,-0.00976400157613536,735,0.32653,0.26744,0.0449061266208703,1134,0.63668,0.65069,-0.00951828565649964,0.0446604107012346,2.831
"1030",606131,"Luis Perdomo",2017,2552,0.08856,0.10233,-0.0161902462012069,756,0.2791,0.27479,0.0103804683115054,1231,0.63932,0.62522,0.00221155373221709,-0.00802133162191862,2.958
"1031",606149,"Giovanny Gallegos",2019,1185,0.16624,0.11873,0.0358346865275107,332,0.34337,0.30472,0.0380462319699109,591,0.66497,0.67209,-0.0191369730694717,0.0930178915668934,3.145
"1032",606160,"Rafael Montero",2017,2133,0.10127,0.12011,-0.0185340663662446,695,0.34388,0.36475,-0.00849091805471128,993,0.64854,0.65865,-0.0157108783682315,-0.0113141060527244,3.384
"1033",606162,"Yefry Ramirez",2018,1223,0.1063,0.11106,-0.00164431139360623,472,0.27754,0.29186,0.00727472536991929,533,0.70732,0.65763,0.0348294468388456,-0.0291990328625325,3.05
"1034",606167,"Adalberto Mejia",2017,1743,0.10614,0.09857,0.00414560380829127,656,0.3064,0.28907,0.0150290964455023,827,0.68924,0.65879,0.0142244543827137,0.00495024587107983,2.92
"1035",606273,"Roenis Elias",2015,1821,0.0939,0.10617,-0.0116381972618085,683,0.25769,0.26322,-0.0203184396420579,872,0.64794,0.65961,-0.0140322579534291,-0.0179243789504373,2.903
"1036",606424,"Jarlin Garcia",2018,1037,0.08293,0.10223,-0.0200757769645533,394,0.17513,0.26042,-0.0560724399841524,508,0.65748,0.64738,0.00172169601746947,-0.0778699129661752,2.874
"1037",606625,"Reyes Moronta",2018,1171,0.14005,0.10766,0.0260653722207805,301,0.20598,0.30649,-0.0532064605055399,557,0.59785,0.64934,-0.0485865716717594,0.0214454833869999,3.081
"1038",606930,"Jacob Barnes",2017,1258,0.15739,0.07151,0.0786258728594934,338,0.28994,0.30411,0.00591790857171275,543,0.70166,0.6332,0.0472091545473761,0.03733462688383,2.754
"1039",606965,"Chris Devenski",2016,1550,0.13677,0.12082,0.0178050086159041,357,0.32493,0.32057,0.00182813240492978,785,0.6586,0.66152,-0.00230937344102752,0.0219425144618614,3.236
"1040",606965,"Chris Devenski",2019,1188,0.12542,0.12491,-0.00110414760124451,342,0.36842,0.35091,0.0367937636709894,568,0.6743,0.6653,0.00957863322083185,0.026110982848913,3.373
"1041",607067,"Colin Rea",2016,1759,0.06652,0.09056,-0.0215037547963008,534,0.24719,0.2726,-0.0252340973853392,874,0.61785,0.64218,-0.0239812273658803,-0.0227566248157597,2.813
"1042",607074,"Carlos Rodon",2015,2441,0.10078,0.10077,0.000480120925461879,939,0.26944,0.27168,-0.0113454835610646,1149,0.64056,0.65432,-0.0191382909114838,0.00827292827588106,2.888
"1043",607074,"Carlos Rodon",2016,2795,0.10054,0.10109,0.000883270495529856,1008,0.27976,0.29229,-0.0246939757457204,1442,0.63384,0.66013,-0.0235052744973658,-0.000305430752824772,2.953
"1044",607074,"Carlos Rodon",2017,1136,0.10387,0.10034,0.00361358166407401,444,0.27027,0.29816,-0.00675942902520624,572,0.61888,0.6506,-0.0259720744243607,0.0228262270632285,2.981
"1045",607074,"Carlos Rodon",2018,1966,0.09105,0.10962,-0.0133200787759524,856,0.24533,0.28961,-0.0319299705553851,946,0.6797,0.66436,0.00271229167482572,-0.0479623410061632,3.019
"1046",607188,"Jake Faria",2017,1519,0.12047,0.10529,0.0123438060487875,578,0.23702,0.25467,-0.0121824633606579,752,0.67021,0.66299,-0.0081005124225375,0.00826185511066703,2.86
"1047",607188,"Jake Faria",2018,1114,0.08528,0.10402,-0.0219631291420061,449,0.22494,0.28017,-0.0410145731883796,533,0.66604,0.66112,-0.00590259030520179,-0.0570751120251839,2.938
"1048",607192,"Tyler Glasnow",2017,1227,0.0815,0.10275,-0.0210074434569843,360,0.26944,0.29077,-0.00764294541279825,597,0.60972,0.65955,-0.0421760606838792,0.0135256718140966,2.965
"1049",607192,"Tyler Glasnow",2018,1918,0.11992,0.1042,0.0108379531862844,545,0.22752,0.29167,-0.0418356742344101,977,0.6346,0.65754,-0.0270653402266371,-0.00393238082148855,2.985
"1050",607200,"Erick Fedde",2019,1313,0.07159,0.0898,-0.0236903768170446,412,0.19903,0.31063,-0.0705239532855331,570,0.65789,0.6294,0.00682141876351191,-0.10103574886609,2.956
"1051",607215,"Eric Skoglund",2018,1070,0.07383,0.10277,-0.0282846047525225,423,0.26241,0.2638,-0.00898890736998274,536,0.68657,0.65515,0.0136105822520162,-0.0508840943745215,2.879
"1052",607219,"Sal Romano",2017,1609,0.08701,0.10602,-0.017506763659671,509,0.25147,0.29222,-0.023689497912738,815,0.62209,0.65202,-0.0318894075269356,-0.00930685404547336,3.012
"1053",607219,"Sal Romano",2018,2404,0.08028,0.10725,-0.0286044635955663,755,0.28609,0.30262,-0.00756240794426247,1217,0.65571,0.66142,-0.0189527928357011,-0.0172140787041276,3.045
"1054",607229,"Robert Gsellman",2017,2047,0.07377,0.09495,-0.0245833744129192,704,0.31534,0.27185,0.0396477392161674,970,0.68557,0.64014,0.0256501745599511,-0.0105858097567029,2.855
"1055",607229,"Robert Gsellman",2018,1328,0.09488,0.10178,-0.00601119257900935,369,0.28455,0.28391,0.0130562710724464,688,0.6875,0.66317,0.00500789028010526,0.0020371882133318,2.926
"1056",607229,"Robert Gsellman",2019,1100,0.11455,0.10894,0.00395975182334831,340,0.31471,0.28699,0.0322603356807381,522,0.67816,0.64745,0.00648664499016452,0.0297334425139219,3.029
"1057",607231,"John Gant",2018,1947,0.11454,0.11137,0.0009648369533476,606,0.30528,0.32386,-0.00567895242598604,988,0.65789,0.66962,-0.0174279767522069,0.0127138612795684,3.145
"1058",607231,"John Gant",2019,1168,0.12842,0.10586,0.0176156021027674,370,0.3027,0.34258,-0.0180445396014479,587,0.67121,0.67696,-0.0180427998396035,0.017613862340923,3.145
"1059",607237,"Amir Garrett",2017,1235,0.08583,0.09873,-0.0140011029289771,484,0.22934,0.29226,-0.0493995828877987,613,0.67374,0.656,0.0070549728114346,-0.0704556586282104,2.937
